Goa,Gujarat,Maharashtra,DNH,Rajasthan
10.3,329.1,460.2,18.8,238.7
10.4,337.6,464.3,18.5,238.6
10.1,341.5,466.0,19.0,237.6
10.0,339.1,464.7,18.7,245.5
8.7,312.7,424.1,14.9,231.0
11.7,300.2,424.5,18.9,180.9
11.8,307.4,433.7,18.9,196.9
11.9,312.7,431.6,18.4,215.6
11.9,313.2,426.7,19.0,222.0
11.9,313.4,426.8,18.9,231.7
11.3,287.5,424.0,18.7,237.9
10.2,290.3,414.1,18.4,229.1
7.8,261.3,380.5,2.7,171.8
8.2,265.8,388.6,2.9,154.1
8.2,268.0,399.1,3.0,163.0
8.6,275.8,405.7,3.2,171.0
8.9,278.9,410.2,3.3,167.2
9.2,280.6,412.7,3.4,170.6
9.5,275.4,404.4,3.8,168.0
12.0,316.8,421.9,18.1,208.2
12.0,318.5,429.8,18.0,211.8
13.4,318.6,431.3,18.3,214.7
13.0,326.4,433.4,18.4,215.5
13.0,334.4,429.8,18.3,218.7
13.0,331.3,431.0,18.3,220.6
11.8,321.7,417.1,18.0,215.0
9.8,342.9,457.5,18.3,220.5
10.5,341.0,466.3,18.4,218.3
10.9,326.8,462.2,18.2,211.7
9.3,256.6,406.8,12.1,187.8
9.9,300.0,439.2,14.0,199.1
11.7,333.3,460.8,17.4,208.2
12.4,333.7,452.0,17.9,211.1
11.9,324.5,419.4,17.5,217.7
11.9,327.9,425.1,18.0,232.5
11.8,329.9,436.2,18.4,231.1
11.2,335.8,442.4,18.5,233.4
10.9,335.9,443.5,18.4,235.0
10.9,328.5,441.3,18.2,235.3
10.9,313.7,424.4,18.1,231.4
11.5,330.9,473.9,17.5,235.1
11.5,316.1,476.8,17.8,223.7
11.5,319.2,473.8,17.9,208.5
11.5,338.8,479.4,18.2,224.0
13.1,352.0,474.3,18.2,228.2
12.4,354.3,463.8,18.3,241.8
12.4,335.9,429.1,18.2,240.1
9.1,299.7,404.9,7.3,220.8
10.3,303.5,418.3,7.4,225.6
10.5,307.0,420.9,7.9,231.8
10.6,308.6,426.2,8.1,230.0
10.6,316.6,434.5,8.2,233.5
10.3,317.1,442.1,8.6,237.2
10.7,315.2,443.5,8.1,244.1
10.2,352.8,484.7,18.3,247.1
10.3,353.0,493.9,18.7,250.9
10.7,356.3,497.9,18.7,250.6
10.9,363.5,499.8,18.5,246.9
10.6,334.7,491.7,18.4,248.9
10.6,349.9,489.1,18.5,247.3
9.4,341.7,477.6,18.4,236.3
12.5,307.5,434.9,18.5,217.9
12.7,309.1,445.4,18.6,222.5
12.4,316.4,444.6,18.8,223.2
11.5,329.4,444.1,18.8,227.8
11.5,332.8,443.7,18.6,234.8
12.7,329.7,443.6,18.7,233.4
11.9,316.0,431.0,18.5,227.9
11.8,301.1,407.9,18.6,243.9
11.3,311.6,412.2,18.1,245.4
11.5,316.1,399.2,18.7,245.5
11.5,320.2,386.2,18.4,240.5
11.5,321.0,383.2,18.1,242.4
11.8,314.9,389.6,18.4,237.8
11.0,294.1,386.6,18.1,222.2
10.4,338.0,490.5,18.7,205.6
11.1,349.9,499.3,18.9,213.6
10.9,355.9,479.6,19.0,215.2
10.6,364.5,479.0,19.1,216.8
10.5,362.3,478.2,18.9,210.3
9.9,357.9,468.2,18.9,202.4
11.3,362.2,432.0,18.7,256.5
11.4,368.8,444.6,18.9,264.3
11.4,372.6,457.9,18.8,261.6
11.4,379.3,460.0,18.9,245.1
11.4,390.7,449.2,18.8,240.0
11.4,387.4,430.9,18.9,244.3
11.4,339.6,405.6,19.1,240.5
11.8,379.8,483.8,18.4,205.8
14.0,359.3,478.3,18.9,159.2
13.8,335.8,470.4,18.7,146.4
13.8,355.9,482.3,18.7,168.3
13.8,358.8,477.8,18.5,178.1
13.8,367.5,487.4,18.4,187.2
10.3,363.6,468.5,18.5,190.4
12.8,341.8,438.4,18.1,206.5
12.8,348.0,446.6,18.2,211.2
12.8,357.3,452.7,18.3,213.1
12.8,360.1,458.8,18.6,215.5
12.8,364.7,441.8,18.3,213.0
10.3,362.1,400.0,18.2,208.4
10.8,343.1,368.4,18.1,202.2
9.5,256.6,414.6,16.6,231.0
9.5,282.7,418.4,17.3,237.6
9.5,316.4,421.8,17.7,240.9
9.5,327.5,421.0,17.9,244.1
11.9,329.8,413.7,17.8,241.1
12.0,329.0,413.1,16.8,242.0
12.0,321.9,403.2,17.2,239.6
11.5,378.4,499.8,18.0,215.5
11.5,378.9,500.6,18.2,212.5
11.5,376.5,497.9,18.1,221.5
11.5,377.8,495.2,18.2,211.8
11.5,374.3,495.1,17.9,192.2
11.5,371.8,496.7,17.8,194.9
11.5,360.5,481.3,17.4,211.2
9.4,324.1,445.4,18.9,226.5
10.5,257.6,452.7,18.1,226.8
10.1,273.3,441.2,17.9,233.3
10.0,309.7,438.8,18.2,225.9
9.5,322.9,431.4,18.0,228.1
9.3,322.1,431.8,18.1,230.2
8.7,313.5,426.8,18.1,228.2
10.3,270.6,379.0,18.5,211.5
10.5,292.7,396.2,18.9,214.5
10.5,293.4,399.4,18.5,207.5
10.5,231.5,344.5,14.9,171.0
11.3,258.5,378.1,16.2,156.0
11.7,281.8,399.9,18.2,147.3
11.7,282.4,399.2,18.4,163.0
7.7,260.7,391.7,2.4,162.7
7.7,263.5,392.2,2.4,168.6
7.9,261.7,395.0,2.4,170.4
8.2,264.5,402.2,2.5,169.7
8.1,269.0,401.9,2.6,169.2
8.1,263.7,400.2,2.7,170.4
12.2,308.7,402.5,17.7,212.4
12.5,314.2,408.4,18.1,214.4
12.4,314.5,414.3,18.1,215.3
12.4,309.8,409.9,18.0,196.9
12.4,307.0,410.3,18.0,194.3
12.9,313.7,416.2,18.2,200.5
12.0,299.7,406.7,17.7,203.7
11.6,333.7,449.1,18.1,222.7
11.6,334.4,463.7,18.6,230.4
11.6,330.9,459.1,18.6,225.0
11.6,332.3,452.8,18.7,219.4
11.6,334.5,448.9,18.2,218.2
10.7,334.3,451.2,18.1,220.9
10.7,327.0,439.0,18.2,215.3
12.3,316.8,403.7,18.2,233.3
12.3,323.4,420.1,18.1,236.5
12.6,324.3,428.0,17.5,236.6
11.9,328.1,431.0,18.3,227.5
11.9,324.4,418.4,18.3,230.5
11.9,320.9,413.0,18.0,233.4
11.9,311.7,404.0,17.4,227.8
11.9,398.0,459.6,17.4,269.8
11.9,398.0,471.4,16.6,278.0
11.9,368.3,463.4,16.5,265.9
10.4,302.6,457.8,16.0,244.4
11.5,328.7,460.8,16.9,257.8
11.5,342.9,464.0,17.4,257.9
11.5,325.4,455.8,17.3,223.1
9.5,299.7,407.7,7.5,205.2
10.6,305.2,392.5,7.8,204.7
10.1,305.5,425.7,8.0,203.2
9.9,301.9,421.3,7.9,203.5
9.8,303.4,411.2,7.8,215.1
10.0,306.3,405.5,7.5,219.7
8.9,306.5,405.1,7.6,225.2
9.5,329.0,457.1,17.1,243.3
11.2,343.5,471.1,18.5,248.1
11.9,341.0,476.8,18.7,249.0
12.0,348.6,475.8,18.7,249.0
11.3,348.7,474.7,18.5,248.1
9.9,347.0,474.5,18.4,249.3
9.3,335.0,461.2,18.0,245.5
12.3,328.8,442.9,18.6,222.6
12.8,335.5,454.0,19.0,228.8
12.8,332.2,455.5,19.0,229.9
12.4,325.9,451.3,19.0,211.8
